,BD1,BD2
0,0.015625,0.015625
1,-0.015625,0.015625
2,0.015625,0.015625
3,-0.015625,-0.015625
4,0.015625,0.015625
5,0.015625,0.015625
6,0.015625,0.015625
7,0.015625,0.015625
8,0.015625,0.015625
9,0.015625,-0.015625
10,-0.015625,0.015625
11,-0.015625,0.015625
12,0.015625,-0.015625
13,-0.015625,0.015625
14,-0.015625,0.015625
15,0.015625,-0.015625
16,0.015625,0.015625
17,0.015625,0.015625
18,0.015625,-0.015625
19,0.015625,-0.015625
20,0.015625,0.015625
21,-0.015625,-0.015625
22,-0.015625,-0.015625
23,0.015625,-0.015625
24,-0.015625,0.015625
25,-0.015625,-0.015625
26,0.015625,0.015625
27,0.015625,0.015625
28,0.015625,0.015625
29,0.015625,-0.015625
30,0.015625,0.015625
31,-0.015625,0.015625
32,0.015625,0.015625
33,0.015625,0.015625
34,0.015625,-0.015625
35,-0.015625,0.015625
36,0.015625,-0.015625
37,0.015625,-0.015625
38,0.015625,0.015625
39,-0.015625,-0.015625
40,0.015625,0.015625
41,-0.015625,-0.015625
42,-0.015625,-0.015625
43,-0.015625,-0.015625
44,0.015625,-0.015625
45,0.015625,0.015625
46,0.015625,-0.015625
47,0.015625,-0.015625
48,0.015625,0.015625
49,0.015625,-0.015625
50,0.015625,-0.015625
51,0.015625,0.015625
52,0.015625,0.015625
53,0.015625,0.015625
54,0.015625,0.015625
55,0.015625,0.015625
56,0.015625,0.015625
57,0.015625,0.015625
58,0.015625,0.015625
59,-0.015625,0.015625
60,0.015625,0.015625
61,0.015625,-0.015625
62,0.015625,-0.015625
63,0.015625,-0.015625
64,0.015625,0.015625
65,0.015625,0.015625
66,-0.015625,0.015625
67,0.015625,-0.015625
68,0.015625,0.015625
69,0.015625,0.015625
70,0.015625,-0.015625
71,0.015625,-0.015625
72,0.015625,0.015625
73,0.015625,0.015625
74,0.015625,0.015625
75,-0.015625,0.015625
76,-0.015625,0.015625
77,0.015625,0.015625
